company,title,location,has_remote,is_agency,published,expired,experience_level,experience_years,salary_min,salary_max,salary_currency,views,clicks,foo_url,apply_url,description
Databricks,Staff Security Software Engineer,United States,Y,N,2025-09-10 15:26:50,,SE,8,,,USD,1,0,https://foorilla.com/hiring/jobs/staff-security-software-engineer-united-states-1190222/,https://databricks.com/company/careers/open-positions/job?gh_jid=7932280002,Title: Staff Security Software Engineer. Company: Databricks. Location: United States. Remote: Yes. Experience Level: SE. Experience Required: 8 years
Replicant,Senior Machine Learning Engineer,United States,Y,N,2025-09-11 23:30:31,,SE,5,,,USD,12,8,https://foorilla.com/hiring/jobs/senior-machine-learning-engineer-united-states-1016846/,https://jobs.ashbyhq.com/replicant/3386a2a4-619b-4a34-b605-a640f96f2fb2,Title: Senior Machine Learning Engineer. Company: Replicant. Location: United States. Remote: Yes. Experience Level: SE. Experience Required: 5 years
Zapier,"Engineering Manager, Data Engineering",NAMER,Y,N,2025-10-24 15:21:41,,SE,8,187000.0,281000.0,USD,5,4,https://foorilla.com/hiring/jobs/engineering-manager-data-engineering-namer-1302574/,https://jobs.ashbyhq.com/zapier/a001ec9e-c45f-411b-bdbd-f59e393cd7bd,"Title: Engineering Manager, Data Engineering. Company: Zapier. Location: NAMER. Remote: Yes. Experience Level: SE. Experience Required: 8 years. Salary: USD 187000.0-281000.0"
Apollo.io,Staff AI Engineer,"Remote, United States",Y,N,2025-09-11 03:25:44,,SE,8,200000.0,280000.0,USD,25,14,https://foorilla.com/hiring/jobs/staff-ai-engineer-remote-united-states-1005931/,https://job-boards.greenhouse.io/apolloio/jobs/5639316004,"Title: Staff AI Engineer. Company: Apollo.io. Location: Remote, United States. Remote: Yes. Experience Level: SE. Experience Required: 8 years. Salary: USD 200000.0-280000.0"
AssemblyAI,Lead AI Platform Engineer,"New York, New York",Y,N,2025-09-26 22:02:05,,SE,8,230000.0,275000.0,USD,17,8,https://foorilla.com/hiring/jobs/lead-ai-platform-engineer-new-york-new-york-1113200/,https://job-boards.greenhouse.io/assemblyai/jobs/4613277005,"Title: Lead AI Platform Engineer. Company: AssemblyAI. Location: New York, New York. Remote: Yes. Experience Level: SE. Experience Required: 8 years. Salary: USD 230000.0-275000.0"
Databricks,"Sr. Solutions Engineer, Retail - CPG",Illinois,N,N,2025-10-21 21:05:16,,SE,5,,,USD,0,0,https://foorilla.com/hiring/jobs/sr-solutions-engineer-retail-cpg-illinois-1277086/,https://databricks.com/company/careers/open-positions/job?gh_jid=7507778002,"Title: Sr. Solutions Engineer, Retail - CPG. Company: Databricks. Location: Illinois. Experience Level: SE. Experience Required: 5 years"
Databricks,"Solutions Architect, Retail - CPG",Northeast - United States,N,N,2025-10-21 21:02:24,,SE,8,,,USD,0,0,https://foorilla.com/hiring/jobs/solutions-architect-retail-cpg-northeast-united-states-1277088/,https://databricks.com/company/careers/open-positions/job?gh_jid=8221491002,"Title: Solutions Architect, Retail - CPG. Company: Databricks. Location: Northeast - United States. Experience Level: SE. Experience Required: 8 years"
Hightouch,"Machine Learning Engineer, AI Decisioning",Remote (North America),Y,N,2025-09-22 17:09:16,,SE,3,200000.0,260000.0,USD,5,4,https://foorilla.com/hiring/jobs/machine-learning-engineer-ai-decisioning-remote-north-america-1079147/,https://job-boards.greenhouse.io/hightouch/jobs/5155115004,"Title: Machine Learning Engineer, AI Decisioning. Company: Hightouch. Location: Remote (North America). Remote: Yes. Experience Level: SE. Experience Required: 3 years. Salary: USD 200000.0-260000.0"
Zapier,Sr. Data Engineer,NAMER,Y,N,2025-10-20 12:40:50,,SE,6,170000.0,256000.0,USD,1,1,https://foorilla.com/hiring/jobs/sr-data-engineer-namer-1269007/,https://jobs.ashbyhq.com/zapier/3d1d56cd-7e37-4bac-9494-5a571febdaf4,Title: Sr. Data Engineer. Company: Zapier. Location: NAMER. Remote: Yes. Experience Level: SE. Experience Required: 6 years. Salary: USD 170000.0-256000.0
TensorStax,"Backend Engineer, Data & Agent Platform","San Francisco, CA",N,N,2025-09-14 16:23:49,,SE,3,,,USD,0,0,https://foorilla.com/hiring/jobs/backend-engineer-data-agent-platform-san-francisco-ca-1032926/,https://jobs.gem.com/tensorstax-com/am9icG9zdDotZ877-NHVZGvVRqRaKRzO,"Title: Backend Engineer, Data & Agent Platform. Company: TensorStax. Location: San Francisco, CA. Experience Level: SE. Experience Required: 3 years"
Databricks,"Solutions Architect - Digital Native Business, Strategic",United States,Y,N,2025-11-04 21:19:58,,SE,5,161300.0,225800.0,USD,0,0,https://foorilla.com/hiring/jobs/solutions-architect-digital-native-business-strategic-united-states-1369990/,https://databricks.com/company/careers/open-positions/job?gh_jid=8227356002,"Title: Solutions Architect - Digital Native Business, Strategic. Company: Databricks. Location: United States. Remote: Yes. Experience Level: SE. Experience Required: 5 years. Salary: USD 161300.0-225800.0"
Databricks,Specialist Solutions Architect,United States,N,N,2025-09-29 04:56:11,,SE,5,161300.0,225800.0,USD,1,0,https://foorilla.com/hiring/jobs/specialist-solutions-architect-united-states-1119603/,https://databricks.com/company/careers/open-positions/job?gh_jid=8175788002,Title: Specialist Solutions Architect. Company: Databricks. Location: United States. Experience Level: SE. Experience Required: 5 years. Salary: USD 161300.0-225800.0
Zapier,Data Engineer,NAMER,Y,N,2025-10-20 12:40:52,,SE,4,141000.0,211000.0,USD,2,1,https://foorilla.com/hiring/jobs/data-engineer-namer-1269006/,https://jobs.ashbyhq.com/zapier/fa3ccba9-dacd-4f78-b615-99f85dc02acd,Title: Data Engineer. Company: Zapier. Location: NAMER. Remote: Yes. Experience Level: SE. Experience Required: 4 years. Salary: USD 141000.0-211000.0
Nearsure,(1226) Senior Data Engineer,Latin America - Remote,Y,N,2025-09-19 12:59:21,,SE,5,,,USD,3,0,https://foorilla.com/hiring/jobs/1226-senior-data-engineer-latin-america-remote-1070054/,https://job-boards.greenhouse.io/nearsure/jobs/4911060007,Title: (1226) Senior Data Engineer. Company: Nearsure. Location: Latin America - Remote. Remote: Yes. Experience Level: SE. Experience Required: 5 years
6sense,Sr. Data Scientist,"United States, Remote",Y,N,2025-09-25 22:46:36,,SE,5,162924.0,198342.0,USD,0,0,https://foorilla.com/hiring/jobs/sr-data-scientist-united-states-remote-1168974/,https://boards.greenhouse.io/6sense/jobs/6739290?gh_jid=6739290,"Title: Sr. Data Scientist. Company: 6sense. Location: United States, Remote. Remote: Yes. Experience Level: SE. Experience Required: 5 years. Salary: USD 162924.0-198342.0"
6sense,AI Engineer,"San Francisco, California, United States",Y,N,2025-09-12 23:24:37,,SE,5,133688.0,178250.0,USD,3,1,https://foorilla.com/hiring/jobs/ai-engineer-san-francisco-california-united-states-1168904/,https://boards.greenhouse.io/6sense/jobs/6708532?gh_jid=6708532,"Title: AI Engineer. Company: 6sense. Location: San Francisco, California, United States. Remote: Yes. Experience Level: SE. Experience Required: 5 years. Salary: USD 133688.0-178250.0"
