title,company,url,source
Senior AI Engineer - Multi-Agent Systems,AI Innovations Inc,https://jobs.example.com/ai-engineer-001,LinkedIn
Data Engineer - Python & ETL,DataCorp,https://jobs.example.com/data-engineer-002,Indeed
Machine Learning Engineer - Remote,ML Startup Co,https://jobs.example.com/ml-engineer-003,AngelList
Python Developer - Internship,Junior Tech,https://jobs.example.com/python-intern-004,LinkedIn
AI Architect - LangChain & FastAPI,ZeroShot Labs,https://jobs.example.com/ai-architect-005,Company Website
Data Engineering Lead - DuckDB & dbt,Analytics Pro,https://jobs.example.com/data-lead-006,LinkedIn
Senior ML Engineer - GCP,Cloud ML Corp,https://jobs.example.com/ml-senior-007,Indeed
Java Developer - Backend,Enterprise Systems,https://jobs.example.com/java-dev-008,LinkedIn
AI Agent Developer - Automation,Automation AI,https://jobs.example.com/agent-dev-009,AngelList
Data Scientist - Python & ML,Data Science Inc,https://jobs.example.com/data-scientist-010,LinkedIn

